Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
BS,C LM,Recruit F9,3018.0,32.78,0.723,1.2,13.11,5.1,2,0.186
BS,C LM,Recruit F9,3018.5,23.5,0.711,0.3,12.3,5.2,2,0.176
BS,C LM,Recruit F9,3019.0,28.33,0.706,0.5,11.79,5.3,2,0.167
BS,C LM,Recruit F9,3019.5,31.12,0.704,1.7,11.325,5.3,2,0.157
BS,C LM,Recruit F9,3020.0,28.68,0.709,1.9,11.165,5.4,2,0.147
BS,C LM,Recruit F9,3020.5,31.67,0.721,1.6,10.535,5.4,2,0.137
BS,C LM,Recruit F9,3021.0,39.75,0.733,0.9,10.04,5.5,2,0.127
BS,C LM,Recruit F9,3021.5,36.56,0.747,2.0,8.545,5.3,2,0.118
BS,C LM,Recruit F9,3022.0,36.56,0.747,2.0,8.545,5.3,2,0.118
BS,C LM,Recruit F9,3022.5,37.21,0.764,2.7,7.73,5.6,2,0.108
BS,C LM,Recruit F9,3023.0,35.8,0.777,2.5,8.195,5.7,2,0.098
BS,C LM,Recruit F9,3023.5,36.56,0.784,1.4,10.29,5.8,2,0.088
BS,A1 SH,Recruit F9,2902.0,64.21,0.471,10.2,10.935,,2,0.256
BS,A1 SH,Recruit F9,2902.5,63.82,0.467,11.2,10.655,,2,0.231
BS,A1 SH,Recruit F9,2903.0,64.74,0.458,15.1,12.705,,2,0.205
BS,A1 LM,Recruit F9,2907.0,32.58,0.29,10.3,14.52,,2,1.0
BS,A1 LM,Recruit F9,2907.5,25.14,0.294,7.1,12.48,,2,0.985
BS,A1 LM,Recruit F9,2843.0,36.084,0.882,1.6,8.2,4.125,2,0.645
BS,A1 LM,Recruit F9,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632
BS,B2 LM,Recruit F9,2914.0,19.462,0.598,3.4,6.8,6.321,2,0.556
BS,B2 LM,Recruit F9,2914.5,19.552,0.581,3.1,6.95,6.16,2,0.519
BS,B2 LM,Recruit F9,2915.0,20.653,0.529,0.9,8.65,5.865,2,0.481
BS,B2 LM,Recruit F9,2915.5,23.371,0.45,-1.0,11.3,5.315,2,0.444
BS,C LM,Recruit F9,3128.5,20.498,1.505,1.321,6.4785,,2,0.583
BS,C LM,Recruit F9,3129.0,19.037,1.451,2.056,7.122,,2,0.571
BS,C LM,Recruit F9,3129.5,19.16,1.162,2.586,7.607,,2,0.56
BS,C LM,Recruit F9,3130.0,20.461,1.031,2.503,8.6935,,2,0.548
BS,C LM,Recruit F9,3130.5,23.425,0.791,4.017,9.9725,,2,0.536
BS,C LM,Recruit F9,3131.0,31.562,0.759,5.805,9.5265,,2,0.524
BS,C LM,Recruit F9,3131.5,43.298,0.759,6.603,8.8445,,2,0.512
BS,B2 LM,Recruit F9,3009.5,31.453,0.899,0.99,12.242,4.52,2,0.833
BS,B2 LM,Recruit F9,3010.0,37.844,0.895,1.105,12.128,4.727,2,0.8
BS,B2 LM,Recruit F9,3010.5,43.313,0.898,0.916,12.512,4.687,2,0.767
BS,B2 LM,Recruit F9,3011.0,41.906,0.891,0.793,13.074,4.594,2,0.733
BS,B2 LM,Recruit F9,3011.5,35.063,0.878,0.492,13.229,4.867,2,0.7
BS,B2 LM,Recruit F9,3012.0,32.531,0.867,-0.022,12.376,4.93,2,0.667
BS,B2 LM,Recruit F9,3012.5,30.906,0.85,-1.111,11.17,5.352,2,0.633
BS,B2 LM,Recruit F9,3013.0,32.188,0.821,-1.42,9.721,4.961,2,0.6
BS,B2 LM,Recruit F9,3013.5,34.281,0.778,-1.263,9.076,5.012,2,0.567
BS,B2 LM,Recruit F9,3014.0,40.844,0.724,-0.57,8.284,4.652,2,0.533
BS,B5 LM,Recruit F9,3061.5,52.281,0.486,3.68,17.218,7.652,2,0.75
BS,B5 LM,Recruit F9,3062.0,48.125,0.479,4.463,18.34,7.598,2,0.733
BS,B5 LM,Recruit F9,3062.5,49.406,0.462,4.29,18.512,6.941,2,0.717
BS,B5 LM,Recruit F9,3063.0,42.688,0.429,3.075,19.239,5.539,2,0.7
BS,B5 LM,Recruit F9,3063.5,41.438,0.387,1.846,19.15,5.027,2,0.683
BS,B5 LM,Recruit F9,3064.0,37.219,0.348,0.672,19.006,5.144,2,0.667
BS,B5 LM,Recruit F9,3064.5,38.656,0.314,0.292,17.824,5.633,2,0.65
BS,B5 LM,Recruit F9,3065.0,43.0,0.283,0.828,17.336,6.231,2,0.633
BS,B5 LM,Recruit F9,3065.5,42.531,0.257,1.594,17.302,5.898,2,0.617
BS,B5 LM,Recruit F9,3066.0,41.188,0.234,1.921,17.512,5.754,2,0.6
BS,B5 LM,Recruit F9,3066.5,38.25,0.211,1.498,16.861,5.609,2,0.583
BS,B5 LM,Recruit F9,3067.0,39.219,0.184,1.629,15.851,6.711,2,0.567
BS,B5 LM,Recruit F9,3067.5,40.938,0.167,2.706,15.214,8.094,2,0.55
BS,B5 LM,Recruit F9,3068.0,38.0,0.158,3.576,15.857,6.902,2,0.533
BS,B5 LM,Recruit F9,3068.5,37.938,0.148,3.308,16.273,6.742,2,0.517
BS,B5 LM,Recruit F9,3069.0,35.156,0.133,3.224,16.99,6.18,2,0.5
BS,B5 LM,Recruit F9,3069.5,36.094,0.118,2.679,17.585,6.422,2,0.483
BS,B5 LM,Recruit F9,3070.0,37.063,0.106,2.082,19.158,5.484,2,0.467
BS,B5 LM,Recruit F9,3070.5,41.0,0.1,1.348,19.453,5.398,2,0.45
BS,B5 LM,Recruit F9,3071.0,42.031,0.106,1.723,18.688,5.297,2,0.433
BS,B5 LM,Recruit F9,3071.5,43.344,0.123,2.001,18.165,5.426,2,0.417
BS,B5 LM,Recruit F9,3072.0,40.906,0.151,1.666,17.719,4.93,2,0.4
BS,B5 LM,Recruit F9,3072.5,40.531,0.184,1.033,17.424,4.894,2,0.383
BS,B5 LM,Recruit F9,3073.0,39.5,0.227,0.945,16.536,5.047,2,0.367
BS,B5 LM,Recruit F9,3073.5,42.281,0.29,0.659,16.138,5.391,2,0.35
BS,B5 LM,Recruit F9,3074.0,46.063,0.366,0.74,15.764,5.652,2,0.333
BS,B5 LM,Recruit F9,3074.5,47.063,0.446,0.122,15.601,5.508,2,0.317
BS,B5 LM,Recruit F9,3075.0,45.719,0.516,0.398,16.106,5.352,2,0.3
BS,B5 LM,Recruit F9,3075.5,42.406,0.585,1.393,16.527,4.926,2,0.283
BS,B5 LM,Recruit F9,3076.0,41.594,0.643,2.044,16.266,4.875,2,0.267
BS,B5 LM,Recruit F9,3076.5,44.531,0.68,1.426,15.42,5.031,2,0.25
BS,B5 LM,Recruit F9,3077.0,49.25,0.707,0.181,13.491,6.062,2,0.233
BS,B5 LM,Recruit F9,3077.5,59.594,0.735,-0.061,11.536,6.227,2,0.217
BS,B5 LM,Recruit F9,3078.0,74.0,0.768,0.243,9.67,5.672,2,0.2
BS,B5 LM,Recruit F9,3078.5,127.5,0.802,1.28,8.876,4.406,2,0.183
BS,B5 LM,Recruit F9,3079.0,185.25,0.83,3.48,7.995,3.912,2,0.167
BS,B5 LM,Recruit F9,3079.5,222.5,0.852,4.614,6.959,3.557,2,0.15
BS,B5 LM,Recruit F9,3080.0,74.0,0.768,0.243,9.67,5.672,2,0.2
BS,C LM,Recruit F9,3104.0,18.297,1.294,0.227,2.8,4.66,2,0.952
BS,C LM,Recruit F9,3104.5,26.609,1.273,1.905,3.905,4.656,2,0.944
